# Sello · fecha: 2026-09-20 · commit: 077caeb+cambios-sin-commit · alcance: registro completo, una fila por Cita: 149 citas de 15 fuentes · suite: 2070 passed, 8 skipped (PyMuPDF sí · ventana Tk no)
cita_id,fuente_id,norma,edicion,numeral,titulo_numeral,pagina_impresa,pagina_pdf,caracter,metodo_verificacion,fecha_verificacion,tiene_interpretacion,discrepancias_que_la_tocan,consumidores_declarados
HDS5_3ED.A.2.1#QLIM,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",A.2.1,Unsubmerged Inlet Control Equations,A.1,190,aproximacion,texto,2026-08-28,no,,
HDS5_3ED.A.2.2#QLIM,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",A.2.2,Submerged Inlet Control Equations,A.2,191,aproximacion,texto,2026-08-28,no,,
HDS5_3ED.A.3#FORMAS,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",A.3,A.3  INLET CONTROL DIMENSIONLESS DESIGN CURVES,A.2,191,exigencia,texto,2026-09-07,no,,fundamento F4.FORMA_HDS5 (Fase 4 - Dimensionamiento hidraulico)
HDS5_3ED.TA.1,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",Table A.1,Constants for Inlet Control Equations for Charts in Appendix G.,A.8,197,definicion,ambos,2026-08-28,no,DIS-HDS5-APENDICE-G [errata_de_imprenta]; DIS-HR-FORMAS-HDS5 [resuelta],fundamento F4.FORMA_HDS5 (Fase 4 - Dimensionamiento hidraulico); tabla HDS5_3ED.TA1 -> M2.materiales_candidatos; tabla HDS5_3ED.TA1 -> M4.control_entrada; tabla HDS5_3ED.TA1 -> criterios_adoptados['ke_entrada']
HDS5_3ED.TC.2,HDS5_3ED,HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-HIF-12-026),"Third Edition, April 2012",Table C.2,Entrance Loss Coefficients.,C.6,216,definicion,ambos,2026-08-28,no,DIS-HDS5-APENDICE-G [errata_de_imprenta],tabla HDS5_3ED.TC2 -> M4.control_salida; tabla HDS5_3ED.TC2 -> constantes_normativas.KE_HDS5_C2; tabla HDS5_3ED.TC2 -> criterios_adoptados['ke_entrada']; tabla HDS5_3ED.TC2 -> criterios_adoptados['ke_entrada_cajon']
HDS5_SI_1985.EC4B#K,HDS5_SI_1985,"HDS-5 «Hydraulic Design of Highway Culverts» (FHWA-IP-85-15), copia rotulada «SI» por sus cartas metricas",September 1985,ecs. (4b) y (5),Hydraulics of Outlet Control,s/n,54,definicion,sin verificar,sin verificar,no,DIS-HDS5-EDICIONES [resuelta],
MC_HHD.3.12.5#G,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,3.12.5,Otras Metodologías,63,66,definicion,ambos,2026-08-28,no,,
MC_HHD.3.6,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,3.6,Selección del Período de Retorno,25,28,recomendacion,ambos,2026-08-28,no,,fundamento F2.TR (Fase 2 - Clasificacion y periodo de retorno); tabla MC_HHD.T02 -> M1.Clasificacion; tabla MC_HHD.T02 -> M1.periodo_retorno_de
MC_HHD.4.1.1.3.1,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.1,Aspectos generales,70,73,definicion,texto,2026-08-28,no,,fundamento F2.LUZ (Fase 2 - Clasificacion y periodo de retorno)
MC_HHD.4.1.1.3.4a,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.4 a),a)  Tipo y sección,72,75,exigencia,texto,2026-08-28,no,DIS-MCHHD-LAMINA-03-TMC [errata_de_imprenta],"fundamento F3.D_MIN (Fase 3 - Tipo, material y durabilidad); fundamento F3.SECCION_CANAL (Fase 3 - Tipo, material y durabilidad)"
MC_HHD.4.1.1.3.4a#MARCO,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.4 a),a)  Tipo y sección,72,75,recomendacion,texto,2026-09-07,no,,"fundamento F3.TIPO_MARCO (Fase 3 - Tipo, material y durabilidad)"
MC_HHD.4.1.1.3.4a#MULTIPLES,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.4 a),a)  Tipo y sección,72,75,recomendacion,texto,2026-09-07,no,,"fundamento F3.CELDAS (Fase 3 - Tipo, material y durabilidad)"
MC_HHD.4.1.1.3.4a#NIVELES,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.4 a),a)  Tipo y sección,72,75,permiso,texto,2026-09-07,no,,"fundamento F3.TIPO_MARCO (Fase 3 - Tipo, material y durabilidad)"
MC_HHD.4.1.1.3.4a#TIPOS,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.4 a),a)  Tipo y sección,71,74,definicion,texto,2026-09-07,no,,"fundamento F3.TIPO_MARCO (Fase 3 - Tipo, material y durabilidad)"
MC_HHD.4.1.1.3.5,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.5,Recomendaciones y factores a tomar en cuenta para el diseño de una alcantarilla,73,76,recomendacion,texto,2026-08-28,no,,
MC_HHD.4.1.1.3.6,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.6,Diseño hidráulico,74,77,definicion,texto,2026-08-28,no,,fundamento F1.TW (Fase 1 - Datos de entrada); fundamento F4.MANNING (Fase 4 - Dimensionamiento hidraulico); fundamento F4.N_CAJON (Fase 4 - Dimensionamiento hidraulico); fundamento F4.SECCION (Fase 4 - Dimensionamiento hidraulico)
MC_HHD.4.1.1.3.6#T09,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,"4.1.1.3.6, Tabla Nº 09",Diseño hidráulico,75,78,definicion,ambos,2026-08-28,no,DIS-MCHHD-T09-A2-DESPLAZADA [errata_de_imprenta],fundamento F4.MANNING (Fase 4 - Dimensionamiento hidraulico); fundamento F4.N_CAJON (Fase 4 - Dimensionamiento hidraulico); tabla MC_HHD.T09 -> M2._MANNING_CLAVE; tabla MC_HHD.T09 -> M2.materiales_candidatos; tabla MC_HHD.T09 -> M3.resolver_manning; tabla MC_HHD.T09 -> criterios_adoptados['n_manning_hdpe']
MC_HHD.4.1.1.3.6#T10,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,"4.1.1.3.6, Tabla Nº 10",Diseño hidráulico,76,79,exigencia,ambos,2026-08-28,no,,fundamento F5.V3 (Fase 5 - Verificaciones); tabla MC_HHD.T10 -> M2.materiales_candidatos; tabla MC_HHD.T10 -> M5.v3_velocidad_maxima
MC_HHD.4.1.1.3.6#VMIN,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,"4.1.1.3.6, párrafo posterior a la Tabla Nº 10",Diseño hidráulico,77,80,recomendacion,ambos,2026-08-28,no,,fundamento F5.V2 (Fase 5 - Verificaciones)
MC_HHD.4.1.1.3.6#VMIN_INICIO,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,"4.1.1.3.6, párrafo posterior a la Tabla Nº 10 (primera mitad)",Diseño hidráulico,76,79,exigencia,ambos,2026-08-28,no,,fundamento F5.V2 (Fase 5 - Verificaciones)
MC_HHD.4.1.1.3.7a,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.7 a),a)   Material sólido de arrastre,79,82,recomendacion,texto,2026-08-28,no,,
MC_HHD.4.1.1.3.7b,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.7 b),b)  Borde libre,79,82,recomendacion,texto,2026-08-28,no,,fundamento F5.V1 (Fase 5 - Verificaciones)
MC_HHD.4.1.1.3.7c,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,"4.1.1.3.7 c), ec. (49)",c)  Socavación local a la salida de la alcantarilla,80,83,aproximacion,imagen renderizada,2026-08-28,no,,fundamento F6.LAUSHEY (Fase 6 - Proteccion de entrada y salida)
MC_HHD.4.1.1.3.7c#G,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,"4.1.1.3.7 c), lista de variables de la ec. (49)",c)  Socavación local a la salida de la alcantarilla,80,83,definicion,ambos,2026-08-28,no,DIS-HR-G-LAUSHEY [resuelta],
MC_HHD.4.1.1.3.7d,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.3.7 d),d)  Mantenimiento y limpieza,80,83,exigencia,texto,2026-09-07,no,,"fundamento F3.MANTENIMIENTO (Fase 3 - Tipo, material y durabilidad)"
MC_HHD.4.1.1.4.1e,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.4.1 e),e)   Borde libre,85,88,exigencia,texto,2026-09-08,no,,fundamento F5.VC1 (Fase 5 - Verificaciones)
MC_HHD.4.1.1.4.1e#RANGO,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,"4.1.1.4.1 e), segunda oracion",e)   Borde libre,85,88,recomendacion,texto,2026-09-08,no,,fundamento F5.VC1 (Fase 5 - Verificaciones)
MC_HHD.4.1.1.5.1,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.1.5.1,Aspectos generales,87,90,definicion,texto,2026-08-28,no,,fundamento F2.LUZ (Fase 2 - Clasificacion y periodo de retorno)
MC_HHD.4.1.1.5.4b24#G,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,"4.1.1.5.4 b.2.4), ec. (63)",Método de Laursen,111,114,definicion,ambos,2026-08-28,no,,
MC_HHD.4.1.2.1d,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,4.1.2.1 d),d) Desagüe de las cunetas,179,182,exigencia,ambos,2026-08-28,no,,fundamento F10.CUNETA (Fase 10 - Alcantarillas de alivio: espaciamiento)
MC_HHD.LAMINA_03,MC_HHD,"Manual de Hidrologia, Hidraulica y Drenaje",Version Libro,Lámina Nº 03,SECCIONES TÍPICAS DE ALCANTARILLAS,209,212,definicion,imagen renderizada,2026-09-07,no,DIS-MCHHD-LAMINA-03-TMC [errata_de_imprenta],"fundamento F3.TIPO_MARCO (Fase 3 - Tipo, material y durabilidad)"
MP.2.1.4.3.9,MP,Manual de Puentes,Version Libro,2.1.4.3.9,Aparatos de Apoyo,91,92,exigencia,ambos,2026-08-28,no,,
MP.2.3.1.1.12.3#EXC_ESTATICA,MP,Manual de Puentes,Version Libro,2.3.1.1.12.3,Límites de Excentricidad,250,251,exigencia,texto,2026-09-12,no,DIS-MP-NUMERAL-2.3.1.1.12.3 [errata_de_imprenta],
MP.2.4.2.2#SOBRECARGA,MP,Manual de Puentes,Version Libro,2.4.2.2,"Cargas de Suelo: EH, ES, y DD",102,103,exigencia,ambos,2026-08-28,no,DIS-HR-H-EQ [resuelta],
MP.2.4.3.11.2#CLASE_F,MP,Manual de Puentes,Version Libro,2.4.3.11.2,Peligro Sísmico,121,122,exigencia,texto,2026-08-29,no,,
MP.2.4.3.11.2.1.1,MP,Manual de Puentes,Version Libro,"2.4.3.11.2.1.1, Tabla 2.4.3.11.2.1.1-1, fila F",Definiciones de Clases de Sitio,122,123,definicion,ambos,2026-08-29,no,,
MP.2.4.3.11.2.1.1#EXCEPCIONES,MP,Manual de Puentes,Version Libro,"2.4.3.11.2.1.1, bloque «Excepciones»",Definiciones de Clases de Sitio,122,123,exigencia,texto,2026-08-29,no,DIS-HR-CLASE-DE-SITIO-F [resuelta],
MP.2.4.3.8.2,MP,Manual de Puentes,Version Libro,2.4.3.8.2,Subpresiones,113,114,exigencia,texto,2026-08-28,no,,fundamento F5.V7 (Fase 5 - Verificaciones)
MP.2.4.5.2#EV,MP,Manual de Puentes,Version Libro,2.4.5.2,Cargas y Denominación de las Cargas,140,141,definicion,texto,2026-08-28,no,,fundamento F5.V7 (Fase 5 - Verificaciones); fundamento F5.V7_FILA (Fase 5 - Verificaciones)
MP.2.4.5.3.1#MINIMO,MP,Manual de Puentes,Version Libro,2.4.5.3.1,Factores de Carga y Combinaciones de Carga,142,143,exigencia,texto,2026-08-28,no,DIS-AASHTO-GAMMA-EV-12.6.1 [abierta],fundamento F5.V7 (Fase 5 - Verificaciones)
MP.T2.4.5.3.1-1,MP,Manual de Puentes,Version Libro,"2.4.5.3.1, Tabla 2.4.5.3.1-1",Factores de Carga y Combinaciones,143,144,exigencia,texto,2026-08-28,no,,fundamento F5.V7 (Fase 5 - Verificaciones); tabla MP.TCOMB -> M8.factores_carga_flotacion; tabla MP.TCOMB -> M9.combinaciones; tabla MP.TCOMB -> M9.demanda_sismica_cabezal; tabla MP.TCOMB -> M9.empujes_trasdos
MP.T2.4.5.3.1-2,MP,Manual de Puentes,Version Libro,"2.4.5.3.1, Tabla 2.4.5.3.1-2",Factores de Carga y Combinaciones,143,144,exigencia,texto,2026-08-28,no,DIS-MP-ERRATAS-GAMMA-P [errata_de_imprenta],fundamento F5.V7 (Fase 5 - Verificaciones); fundamento F5.V7_FILA (Fase 5 - Verificaciones); tabla MP.TGAMMA_P -> M8.factores_carga_flotacion; tabla MP.TGAMMA_P -> M9.empujes_trasdos; tabla MP.TGAMMA_P -> M9.verificar_estabilidad
MP.2.8.1.1.14.1#EXC,MP,Manual de Puentes,Version Libro,2.8.1.1.14.1,Generalidades,253,254,exigencia,texto,2026-09-12,no,DIS-MP-EXCENTRICIDAD [errata_de_imprenta],
MP.2.8.1.1.14.2.1#ROCA,MP,Manual de Puentes,Version Libro,2.8.1.1.14.2.1,Caracterización de la Aceleración en la Base del Muro de Contención,254,255,exigencia,ambos,2026-09-12,no,DIS-MP-KH0-ROCA [errata_de_imprenta],
MP.T2.9.1.5.5.3-1,MP,Manual de Puentes,Version Libro,"2.9.1.5.5.3, Tabla 2.9.1.5.5.3-1",Recubrimiento de Concreto,377,378,exigencia,texto,2026-08-28,no,,tabla MP.TRECUB -> M9._recubrimiento_aashto_detallado
MP.A.11.3.1#KAE,MP,Manual de Puentes,Version Libro,"A.11.3.1, ec. A.11.3.1-2",Método de Mononobe -Okabe,586,587,aproximacion,ambos,2026-09-12,no,DIS-MP-KAE-SIGNO [errata_de_imprenta],
MP.T2.4.3.11.2.1.2-1,MP,Manual de Puentes,Version Libro,Tabla 2.4.3.11.2.1.2-1,Efectos de Sitio,123,124,exigencia,imagen renderizada,2026-08-28,no,,tabla MP.TFPGA -> M9.f_pga
MS.3.2.1,MS,"Manual de Carreteras: Suelos, Geologia, Geotecnia y Pavimentos — Seccion Suelos y Pavimentos",Version abril 2014,3.2.1,Terraplén,24,25,exigencia,texto,2026-08-28,no,,
MS.3.2.2,MS,"Manual de Carreteras: Suelos, Geologia, Geotecnia y Pavimentos — Seccion Suelos y Pavimentos",Version abril 2014,3.2.2,Corte,24,25,exigencia,texto,2026-08-28,no,,
MS.3.3,MS,"Manual de Carreteras: Suelos, Geologia, Geotecnia y Pavimentos — Seccion Suelos y Pavimentos",Version abril 2014,3.3,Sub rasante del camino,24,25,exigencia,texto,2026-08-28,no,,
MS.4.2,MS,"Manual de Carreteras: Suelos, Geologia, Geotecnia y Pavimentos — Seccion Suelos y Pavimentos",Version abril 2014,4.2,Caracterización de la sub rasante,28,29,exigencia,ambos,2026-08-28,no,,
MS.4.2#C41,MS,"Manual de Carreteras: Suelos, Geologia, Geotecnia y Pavimentos — Seccion Suelos y Pavimentos",Version abril 2014,"4.2, Cuadro 4.1",Caracterización de la sub rasante,28,29,exigencia,ambos,2026-08-28,no,DIS-CN-CALICATAS [resuelta],
MS.4.2#PERFIL,MS,"Manual de Carreteras: Suelos, Geologia, Geotecnia y Pavimentos — Seccion Suelos y Pavimentos",Version abril 2014,"4.2, párrafo posterior al Cuadro 4.1",Caracterización de la sub rasante,29,30,exigencia,texto,2026-08-28,no,,
MS.4.5.4,MS,"Manual de Carreteras: Suelos, Geologia, Geotecnia y Pavimentos — Seccion Suelos y Pavimentos",Version abril 2014,4.5.4,Sub rasante,42,43,exigencia,texto,2026-08-28,no,,fundamento F5.V4 (Fase 5 - Verificaciones)
MS.9.1.1,MS,"Manual de Carreteras: Suelos, Geologia, Geotecnia y Pavimentos — Seccion Suelos y Pavimentos",Version abril 2014,"9.1, apartado 1)",Criterios geotécnicos para establecer la estabilización de suelos,89,90,exigencia,texto,2026-08-28,no,,
MS.9.1.3,MS,"Manual de Carreteras: Suelos, Geologia, Geotecnia y Pavimentos — Seccion Suelos y Pavimentos",Version abril 2014,"9.1, apartado 3)",Criterios geotécnicos para establecer la estabilización de suelos,89,90,exigencia,texto,2026-08-28,no,,fundamento F5.V4 (Fase 5 - Verificaciones)
MS.4.4#C411,MS,"Manual de Carreteras: Suelos, Geologia, Geotecnia y Pavimentos — Seccion Suelos y Pavimentos",Version abril 2014,Cuadro 4.11,Cuadro 4.11 Categorías de Sub rasante,37,38,definicion,texto,2026-08-28,no,,
